name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
DISCOVERY PARK,-27.731424,153.160155,polygon centroid,,,,,6,BAHRS SCRUB,Landscape Amenit,Natural Areas,,existing,Emerging Community,11.0,0.0
Daisy Hill Conservation Park,-27.6227874755859,153.156723022461,directory point,"Daisy Hill Road, Daisy Hill",Daisy Hill,"toilets,wheelchair_toilets,walking_track,bbq_wood,picnic_area",101.0,3,DAISY HILL,Metropolitan,Recreation,0,existing,Environmental Management and Conservation,4.0,5692784.0
Daisy Hill Park,-27.645565032959,153.15266418457,directory point,"Daisy Hill Road, Slacks Creek",Slacks Creek,picnic_area,102.0,3,DAISY HILL,Local,Recreation,3,existing,Recreation and Open Space,1.0,4320.0
Danyenah Park,-27.6890697479248,153.174270629883,directory point,"Danyenah Street, Loganholme",Loganholme,playground,103.0,10,LOGANHOLME,Local,Recreation,3,existing,Recreation and Open Space,2.0,15566.0
Darlington Parklands,-27.803150177002,153.104034423828,directory point,"47 - 125 Yarrabilba Drive, Yarrabilba",Yarrabilba,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,water_play_area,picnic_area",104.0,4,YARRABILBA,District,Recreation,,existing,PDA - Priority Development Area,1.0,65511.0
Dart Park,-27.6558361053467,153.101516723633,directory point,"Dart Avenue, Kingston",Kingston,"dog_off-leash_area,basketball,picnic_area",105.0,2,KINGSTON,Local,Recreation,1,existing,Recreation and Open Space,1.0,19169.0
Dauth Indoor Recreation Park,-27.711038,153.205841,polygon centroid,,,,,12,BEENLEIGH,District,Sport,4,existing,Recreation and Open Space,1.0,13494.0
Dauth Park,-27.712009,153.205438,polygon centroid,,,,,12,BEENLEIGH,District,Sport,2,existing,Recreation and Open Space,2.0,47441.0
Daybreak Park,-27.7960739135742,153.101287841797,directory point,"70-98 Highlands Street, Yarrabilba",Yarrabilba,"bbq_electric,playground,fitness_equipment,picnic_area",106.0,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,1.0,31407.0
Demeio Park,-27.6656932830811,153.085601806641,directory point,"116-124 Demeio Road, Marsden",Marsden,"bbq_electric,playground,toilets,basketball,waterfront,picnic_area",107.0,5,MARSDEN,Local,Recreation,1,existing,Recreation and Open Space,2.0,66262.0
Denny Way Park,-27.5944881439209,153.130493164063,directory point,"Denny Way, Rochedale South",Rochedale South,"playground,picnic_area",108.0,1,ROCHEDALE SOUTH,Local,Recreation,4,existing,Recreation and Open Space,1.0,1996.0
Devine Park,-27.6715354919434,153.084350585938,directory point,"Devine Street, Marsden",Marsden,"playground,picnic_area",109.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,3.0,7334.0
Devron Park,-27.69065284729,153.216339111328,directory point,"Gurley Street, Eagleby",Eagleby,"playground,picnic_area",110.0,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,1.0,5323.0
Diamantina Park,-27.6759243011475,153.021713256836,directory point,"Diamantina Street, Hillcrest",Hillcrest,playground,111.0,7,HILLCREST,Local,Recreation,2,existing,Recreation and Open Space,1.0,2463.0
Diddams Park,-27.6945285797119,153.18180847168,directory point,"38-46 Diddams Street, Loganholme",Loganholme,"playground,picnic_area",112.0,10,LOGANHOLME,Local,Recreation,3,existing,Multiple Zones,2.0,47599.0
Dirram Yani Park,-27.8032093048096,152.953430175781,directory point,"Parkside Drive, Jimboomba",Jimboomba,"bbq_electric,picnic_area",113.0,11,FLAGSTONE,Local,Recreation,0,existing,Priority Development Area,5.0,29017.0
Dombeyah Park,-27.6911602020264,153.087478637695,directory point,"Bolan Court, Crestmead",Crestmead,"playground,picnic_area",114.0,5,CRESTMEAD,Local,Recreation,3,existing,Recreation and Open Space,1.0,5986.0
Dorset Park,-27.6086807250977,153.140808105469,directory point,"Exilis Street, Springwood",Springwood,"playground,fitness_equipment",115.0,1,ROCHEDALE SOUTH,Minor,Recreation,0,existing,Recreation and Open Space,2.0,4021.0
Doug Larsen Park,-27.705924987793,153.196990966797,directory point,"41 Logan Street, Beenleigh",Beenleigh,"bbq_electric,playground,toilets,fitness_equipment,basketball,bmx,skate_facilities,picnic_area",116.0,12,BEENLEIGH,District,Recreation,1,existing,Recreation and Open Space,2.0,90361.0
Driftwood Park,-27.6836490631104,153.097946166992,directory point,"Driftwood Street, Crestmead",Crestmead,playground,117.0,5,CRESTMEAD,Local,Recreation,3,existing,Recreation and Open Space,1.0,3661.0
Duchess Park,-27.6762104034424,153.123931884766,directory point,"Duchess Court, Loganlea",Loganlea,"playground,fitness_equipment",118.0,6,LOGANLEA,Local,Recreation,3,Investigation,Low Density Residential,4.0,6577.0
Eagleby Community Park,-27.7058048248291,153.211959838867,directory point,"94 Fryar Road, Eagleby",Eagleby,"basketball,picnic_area",119.0,12,EAGLEBY,Local,Recreation,2,existing,Recreation and Open Space,1.0,16095.0
Eagleby Road East Park,-27.684099,153.229251,polygon centroid,,,,,12,EAGLEBY,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,22256.0
Eagleby Wetlands,-27.7092895507813,153.227172851563,directory point,"293 Logan Street, Eagleby",Eagleby,"bike_track,walking_track",120.0,12,EAGLEBY,Metropolitan,Recreation,4,existing,Recreation and Open Space,3.0,316717.0
East Beaumont Park,-27.7163581848145,153.083801269531,directory point,"1-15 Mount Archer Road, Park Ridge",Park Ridge,"playground,basketball,picnic_area",121.0,8,PARK RIDGE,Local,Recreation,,existing,Emerging Community,1.0,10528.0
Echo Park,-27.6716003417969,153.087997436523,directory point,"12 Echo Court, Marsden",Marsden,playground,122.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,3.0,6684.0
Eddie Avenue Park,-27.6999206542969,153.169418334961,directory point,"123 Castile Crescent, Edens Landing",Edens Landing,picnic_area,123.0,,,,,,,,,
Edenlea Park,-27.6663799285889,153.143585205078,directory point,"Edenlea Drive, Meadowbrook",Meadowbrook,"playground,basketball,picnic_area",124.0,6,MEADOWBROOK,Local,Recreation,2,existing,Recreation and Open Space,1.0,6933.0
Edens Parkland,-27.701379776001,153.172637939453,directory point,"26 Loane Drive, Edens Landing",Edens Landing,"playground,fitness_equipment,picnic_area",125.0,6,EDENS LANDING,District,Recreation,3,existing,Recreation and Open Space,6.0,84359.0
Edgewater Park,-27.753272,153.056462,polygon centroid,,,,,9,CHAMBERS FLAT,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,25797.0
Edinburgh Park,-27.689835,153.147823,polygon centroid,,,,,6,BETHANIA,Corridor,Recreation,4,existing,Recreation and Open Space,5.0,50530.0
Ellen Park,-27.6468982696533,153.117141723633,directory point,"Ellen Street, Kingston",Kingston,"playground,picnic_area",126.0,2,KINGSTON,Local,Recreation,4,existing,Recreation and Open Space,1.0,4723.0
Elm Park,-27.6391048431396,153.09538269043,directory point,"Elm Avenue, Woodridge",Woodridge,"playground,bmx,picnic_area",127.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,10467.0
Emerald Park (Beenleigh),-27.718053817749,153.187911987305,directory point,"36 Crest Street, Beenleigh",Beenleigh,"playground,picnic_area",128.0,12,BEENLEIGH,Local,Recreation,3,existing,Recreation and Open Space,2.0,34934.0
Emerald Park (Beenleigh),-27.718042,153.18819,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,3,existing,Recreation and Open Space,2.0,34934.0
Emerald Park (Regents Park),-27.6802082061768,153.034866333008,directory point,"Emerald Drive, Regents Park",Regents Park,playground,129.0,12,BEENLEIGH,Local,Recreation,3,existing,Recreation and Open Space,2.0,34934.0
Emerson Park,-27.755985,153.188963,polygon centroid,,,,,4,BANNOCKBURN,Landscape Amenit,Natural Areas,0,existing,Environmental Management and Conservation,6.0,94851.0
Eridani Park,-27.6593608856201,153.101165771484,directory point,"Eridani Avenue, Kingston",Kingston,"playground,toilets,wheelchair_toilets,basketball,bmx,bbq_wood,picnic_area",130.0,2,KINGSTON,Local,Recreation,1,existing,Recreation and Open Space,1.0,27212.0
Ernie White Park,-27.6839466094971,153.09309387207,directory point,"Waratah Drive, Crestmead",Crestmead,playground,131.0,5,CRESTMEAD,Local,Recreation,1,existing,Recreation and Open Space,1.0,6971.0
Essie Worth Park,-27.6346244812012,153.100296020508,directory point,"Station Road, Woodridge",Woodridge,playground,132.0,2,WOODRIDGE,Local,Recreation,3,existing,Recreation and Open Space,2.0,4347.0
Estramina Park,-27.665731,153.042699,polygon centroid,,,,,7,REGENTS PARK,Local,Recreation,4,existing,Recreation and Open Space,1.0,1071.0
Evergreen Park,-27.6864280700684,153.128845214844,directory point,"Evergreen Avenue, Loganlea",Loganlea,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,cricket_practice_net,bbq_wood,picnic_area",133.0,5,WATERFORD WEST,Local,Other,2,existing,Recreation and Open Space,6.0,74285.0
Everleigh Park,-27.7396945953369,152.987426757813,directory point,"Everleigh Drive, Greenbank",Greenbank,"bbq_electric,playground,picnic_area",134.0,11,GREENBANK,District,Recreation,,existing,Priority Development Area,8.0,27878.0
Ewing Park,-27.6334342956543,153.113571166992,directory point,"Netball Drive, Woodridge",Woodridge,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,bike_track,picnic_area,volleyball",135.0,2,WOODRIDGE,District,Recreation,2,existing,Recreation and Open Space,9.0,89611.0
Farr-Jones Park,-27.6322612762451,153.146697998047,directory point,"4 Farr-Jones Court, Daisy Hill",Daisy Hill,"playground,picnic_area",136.0,1,SPRINGWOOD,Minor,Recreation,4,existing,Recreation and Open Space,3.0,3403.0
Featherstone Park,-27.6394100189209,153.170562744141,directory point,"Almira Street, Shailer Park",Shailer Park,"playground,picnic_area",137.0,3,SHAILER PARK,Local,Recreation,2,existing,Recreation and Open Space,1.0,32850.0
Federation Drive Reserve,-27.681941986084,153.142547607422,directory point,"Federation Drive, Bethania",Bethania,"dog_off-leash_area,bbq_electric,basketball,skate_facilities,picnic_area",138.0,6,BETHANIA,Local,Recreation,1,existing,Recreation and Open Space,3.0,25187.0
Flagstone Regional Park,-27.8027667999268,152.944793701172,directory point,"Flagstonian Drive, Flagstone",Flagstone,"dog_off-leash_area,bbq_electric,playground,toilets,basketball,bmx,skate_facilities,picnic_area",139.0,,,,,,,,,
Fleet Park,-27.6650466918945,153.057846069336,directory point,"Fleet Street, Browns Plains",Browns Plains,playground,140.0,7,BROWNS PLAINS,Landscape Amenit,Natural Areas,4,existing,Recreation and Open Space,4.0,24568.0
Flinders Park,-27.693904876709,153.013290405273,directory point,"Flinders Crescent, Boronia Heights",Boronia Heights,"playground,picnic_area",141.0,7,BORONIA HEIGHTS,Local,Recreation,4,existing,Recreation and Open Space,3.0,1714.0
Flindersia Riverside Park,-27.706615,153.122184,polygon centroid,,,,,8,LOGAN RESERVE,Corridor,Recreation,,existing,Emerging Community,2.0,0.0
Forest Park,-27.629861831665,153.105484008789,directory point,"Forest Street, Woodridge",Woodridge,"playground,picnic_area",142.0,2,WOODRIDGE,Minor,Recreation,4,existing,Recreation and Open Space,1.0,1339.0
Forestglen Park,-27.6610984802246,153.05192565918,directory point,"Parkland Avenue, Browns Plains",Browns Plains,"ideal_wedding_location,bbq_electric,playground,toilets,wheelchair_toilets,bbq_wood,picnic_area",143.0,7,BROWNS PLAINS,District,Recreation,1,existing,Recreation and Open Space,3.0,31591.0
Foxx Park,-27.8083362579346,153.113693237305,directory point,"235 - 251 Darlington Drive, Yarrabilba",Yarrabilba,"bbq_electric,picnic_area",144.0,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,1.0,3134.0
Freshwater Park,-27.6584224700928,153.077438354492,directory point,"Freshwater Drive, Berrinba",Berrinba,"playground,picnic_area",145.0,5,BERRINBA,Local,Recreation,2,existing,Recreation and Open Space,4.0,151378.0
Gambaro Park,-27.694117,153.19712,polygon centroid,,,,,10,LOGANHOLME,Corridor,Recreation,4,existing,Recreation and Open Space,1.0,17419.0
Gamenya Park,-27.6336917877197,153.143707275391,directory point,"Gamenya Drive, Springwood",Springwood,"playground,picnic_area",146.0,1,SPRINGWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,2381.0
Garoona Park,-27.6347599029541,153.128433227539,directory point,"Garoona Grove, Slacks Creek",Slacks Creek,picnic_area,147.0,3,SLACKS CREEK,Ecologically Sig,Natural Areas,0,existing,Recreation and Open Space,1.0,39119.0
Geoff Philp Reserve,-27.76941,153.087469,polygon centroid,,,,,9,STOCKLEIGH,Landscape Amenit,Natural Areas,3,existing,,11.0,475535.0
Giesemann Park,-27.761775970459,153.031661987305,directory point,"Norris Creek Road, Munruben",Munruben,"bbq_wood,picnic_area",148.0,9,NORTH MACLEAN,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,7.0,194643.0
Gladewood Park,-27.638728,153.159616,polygon centroid,,,,,3,DAISY HILL,Local,Recreation,4,existing,Recreation and Open Space,6.0,29266.0
Glen Park,-27.724368,153.11776,polygon centroid,,,,,8,LOGAN RESERVE,Corridor,Recreation,0,existing,Environmental Management and Conservation,3.0,96009.0
Glenlogan Lakes Park,-27.8268604278564,153.001052856445,directory point,"St Jude Circuit, Jimboomba",Jimboomba,"bbq_electric,picnic_area",149.0,9,GLENLOGAN,District,Recreation,3,existing,Recreation and Open Space,3.0,155253.0
Glenlogan Park North,-27.827688,153.01024,polygon centroid,,,,,9,GLENLOGAN,Metropolitan,Sport,3,existing,Recreation and Open Space,5.0,165863.0
Glenlogan Park South,-27.831147,153.012511,polygon centroid,,,,,9,GLENLOGAN,Metropolitan,Sport,3,existing,Recreation and Open Space,2.0,243762.0
Glindemann Park,-27.5987987518311,153.107727050781,directory point,"12 Stegeman Road, Underwood",Underwood,playground,150.0,2,UNDERWOOD,District,Recreation,4,existing,Low Density Residential,10.0,24985.0
Glynton Park,-27.824833,152.987996,polygon centroid,,,,,9,RIVERBEND,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,17601.0
Goldmine Park,-27.6549987792969,153.121047973633,directory point,"Cleopatra Street, Kingston",Kingston,"playground,basketball,picnic_area",151.0,2,KINGSTON,Local,Recreation,3,existing,Recreation and Open Space,2.0,1696.0
Gould Adams Park,-27.6622066497803,153.121459960938,directory point,"Kingston Road, Kingston",Kingston,"toilets,wheelchair_toilets,cricket_practice_net,bbq_wood,waterfront,picnic_area",152.0,2,KINGSTON,District,Recreation,2,existing,Recreation and Open Space,4.0,175476.0
Graham Hogg Park,-27.5954036712646,153.123077392578,directory point,"Underwood Road, Rochedale South",Rochedale South,playground,153.0,1,ROCHEDALE SOUTH,Minor,Recreation,3,existing,Recreation and Open Space,1.0,551.0
Grecian Park,-27.667947769165,153.036682128906,directory point,"Grecian Street, Regents Park",Regents Park,playground,154.0,7,REGENTS PARK,Minor,Recreation,0,existing,Recreation and Open Space,1.0,1483.0
Greenbank Meadows Park,-27.7260799407959,153.004013061523,directory point,"30 Stoney Camp Road, Greenbank",Greenbank,"playground,picnic_area",155.0,11,GREENBANK,District,Sport,3,existing,Recreation and Open Space,1.0,100103.0
Greenbank Recreation Reserve,-27.7196464538574,152.983551025391,directory point,"Middle Road, Greenbank",Greenbank,"bbq_electric,playground,fitness_equipment,bbq_wood,skate_facilities,picnic_area",156.0,11,GREENBANK,District,Sport,1,existing,Recreation and Open Space,2.0,121030.0
Greenstone Park,-27.8071269989014,153.115036010742,directory point,"Greenstone Street, Yarrabilba",Yarrabilba,"bbq_electric,playground,picnic_area",157.0,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,1.0,11745.0
Greenwood Lakes,-27.6632404327393,152.995101928711,directory point,"Paradise Road, Forestdale",Forestdale,"walking_track,waterfront,picnic_area",158.0,7,FORESTDALE,Ecologically Sig,Natural Areas,1,existing,Environmental Management and Conservation,10.0,459590.0
Grosvenor Park,-27.6706352233887,153.059188842773,directory point,"Berkley Drive, Browns Plains",Browns Plains,playground,159.0,7,BROWNS PLAINS,Ecologically Sig,Natural Areas,0,existing,Recreation and Open Space,3.0,146313.0
Haldham Park,-27.686243057251,153.037750244141,directory point,"Haldham Crescent, Regents Park",Regents Park,"playground,bmx",160.0,8,REGENTS PARK,Ecologically Sig,Natural Areas,4,existing,Recreation and Open Space,6.0,99465.0
Hammel Park,-27.7208595275879,153.194931030273,directory point,"James Street, Beenleigh",Beenleigh,playground,161.0,12,BEENLEIGH,District,Sport,1,existing,Recreation and Open Space,1.0,78141.0
Hanlon Park,-27.6814556121826,153.175186157227,directory point,"Hanlon Street, Tanah Merah",Tanah Merah,"playground,fitness_equipment,basketball,picnic_area",162.0,10,TANAH MERAH,Local,Recreation,2,existing,Recreation and Open Space,4.0,36011.0
Harmony Park,-27.6579875946045,153.053451538086,directory point,"Harmony Court, Browns Plains",Browns Plains,"playground,picnic_area",163.0,7,BROWNS PLAINS,Local,Recreation,3,existing,Recreation and Open Space,1.0,2673.0
Haven Park,-27.7315425872803,153.165512084961,directory point,"Brookehaven Boulevard, Bahrs Scrub",Bahrs Scrub,"playground,fitness_equipment,basketball,bmx,picnic_area",164.0,6,BAHRS SCRUB,Local,Recreation,,existing,,3.0,18666.0
Havenbah Park,-27.6830730438232,153.110687255859,directory point,"Browns Plains Road, Marsden",Marsden,"playground,picnic_area",165.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,1.0,9789.0
Hawthorn Park,-27.6820697784424,153.068023681641,directory point,"Bayliss Road, Heritage Park",Heritage Park,playground,166.0,8,HERITAGE PARK,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,5.0,227133.0
Heather Park,-27.6456031799316,153.107131958008,directory point,"Heather Street, Logan Central",Logan Central,playground,167.0,2,LOGAN CENTRAL,Minor,Recreation,0,existing,Recreation and Open Space,1.0,1001.0
Henderson Park,-27.7351055145264,153.111541748047,directory point,"82 Henderson Street, Logan Reserve",Logan Reserve,"boat_ramp,waterfront,picnic_area",168.0,8,LOGAN RESERVE,Local,Recreation,4,existing,Recreation and Open Space,2.0,38297.0
Henry Jordan Park,-27.6972846984863,153.141632080078,directory point,"Abelia Drive, Waterford West",Waterford West,picnic_area,169.0,5,WATERFORD WEST ,Corridor,Recreation,2,future,R RES – Cottage Rural,3.0,47798.0
Heritage Park,-27.856748,153.016173,polygon centroid,,,,,9,JIMBOOMBA,Local,Recreation,0,existing,Recreation and Open Space,1.0,28483.0
Herses Drainage Reserve,-27.6915798187256,153.208129882813,directory point,"91 Herse'S Road, Eagleby",Eagleby,"bbq_electric,playground,fitness_equipment,picnic_area",170.0,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,3.0,63333.0
Hibbertia Park,-27.6291828155518,153.143432617188,directory point,"Hibbertia Court, Springwood",Springwood,"playground,picnic_area",171.0,1,SPRINGWOOD,Local,Recreation,3,existing,Recreation and Open Space,1.0,3185.0
Highland Park,-27.6828651428223,153.022857666016,directory point,"Eugene Street, Boronia Heights",Boronia Heights,"dog_off-leash_area,playground,skate_facilities,picnic_area",172.0,7,BORONIA HEIGHTS,Local,Recreation,1,existing,Recreation and Open Space,2.0,29436.0
Highwood Park,-27.8054046630859,152.951446533203,directory point,"16 Highwood Court, Jimboomba",Jimboomba,"playground,picnic_area",173.0,11,FLAGSTONE,Local,Recreation,0,existing,Low Density Residential,1.0,1886.0
Hillcrest Park,-27.6608009338379,153.026473999023,directory point,"Helmet Court, Hillcrest",Hillcrest,"basketball,picnic_area",174.0,7,HILLCREST,Local,Recreation,2,existing,Recreation and Open Space,5.0,49954.0
Homestead Park (Flagstone),-27.8148,152.964504,polygon centroid,,,,,11,FLAGSTONE,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,18.0,558770.0
Homestead Park (Jimboomba),-27.8131999969482,152.954635620117,directory point,"Homestead Drive, Jimboomba",Jimboomba,"fitness_equipment,basketball,bbq_wood,picnic_area",175.0,11,FLAGSTONE,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,18.0,558770.0
Homestead Park (Shailer Park),-27.644272,153.166257,polygon centroid,,,,,11,FLAGSTONE,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,18.0,558770.0
Homestead Park (Shailer Park),-27.6443347930908,153.168579101563,directory point,"Jodie Street, Shailer Park",Shailer Park,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,basketball,picnic_area",176.0,11,FLAGSTONE,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,18.0,558770.0
Hopkins Park,-27.9115772247314,152.984588623047,directory point,"Mount Lindesay Highway, Veresdale",Veresdale,picnic_area,177.0,,,,,,,,,
Hubner Park,-27.7052116394043,153.056488037109,directory point,"Hubner Road, Park Ridge",Park Ridge,"toilets,fitness_equipment",178.0,8,PARK RIDGE,District,Sport,1,existing,Recreation and Open Space,3.0,70287.0
Huggins Park,-27.8054294586182,153.106857299805,directory point,"36 - 48 Huggins Avenue, Yarrabilba",Yarrabilba,picnic_area,179.0,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,1.0,5200.0
Hugh Muntz Gardens,-27.7194061279297,153.210052490234,directory point,"Reisers Road, Beenleigh",Beenleigh,"bbq_electric,toilets,picnic_area",180.0,12,BEENLEIGH,Landscape Amenit,Natural Areas,4,existing,Recreation and Open Space,5.0,118604.0
Huntley Park,-27.7142200469971,153.078109741211,directory point,"Mount Huntley Street, Park Ridge",Park Ridge,picnic_area,181.0,8,PARK RIDGE,,Other,,existing,Emerging Community,2.0,11487.0
Hyde Park,-27.6746807098389,153.04118347168,directory point,"Vansittart Road, Regents Park",Regents Park,"playground,fitness_equipment",182.0,7,REGENTS PARK,District,Sport,2,existing,Recreation and Open Space,3.0,163697.0
Iberis Park,-27.6775741577148,153.032775878906,directory point,"8 Iberis Court, Regents Park",Regents Park,playground,183.0,7,REGENTS PARK,Local,Recreation,2,existing,Recreation and Open Space,3.0,5242.0
Ibis Park (Loganlea),-27.6831512451172,153.136764526367,directory point,"Ibis Street, Loganlea",Loganlea,picnic_area,184.0,12,BEENLEIGH,Local,Other,4,existing,Recreation and Open Space,4.0,7881.0
Ibis Park (Loganlea),-27.683101,153.13671,polygon centroid,,,,,12,BEENLEIGH,Local,Other,4,existing,Recreation and Open Space,4.0,7881.0
Isle Of Ely Park,-27.686861038208,153.051239013672,directory point,"Isle Of Ely Drive, Heritage Park",Heritage Park,"dog_off-leash_area,playground,basketball,picnic_area",185.0,8,HERITAGE PARK,Local,Recreation,2,existing,Recreation and Open Space,3.0,27137.0
Ison Park,-27.7010517120361,152.960006713867,directory point,"143-145 Ison Road, Greenbank",Greenbank,"skate_facilities,picnic_area",186.0,11,GREENBANK,District,Recreation,4,existing,Recreation and Open Space,1.0,133278.0
J J Smith Park,-27.670295715332,153.110610961914,directory point,"42a Princess Street, Marsden",Marsden,"playground,toilets,disc_golf,wheelchair_toilets,basketball,bbq_wood,waterfront,picnic_area",187.0,5,MARSDEN,District,Sport,2,Investigation,Recreation and Open Space,19.0,240150.0
Jackeroo Park,-27.822632,152.947714,polygon centroid,,,,,11,FLAGSTONE,District,Recreation,4,existing,Recreation and Open Space,2.0,55308.0
James Fitzgerald Park,-27.6958312988281,153.118804931641,directory point,"Tygum Road, Waterford West",Waterford West,"dog_off-leash_area,picnic_area",188.0,5,WATERFORD WEST,Corridor,Recreation,1,existing,Recreation and Open Space,2.0,122729.0
James Smith Recreation Area,-27.7304496765137,152.982498168945,directory point,"145 Teviot Road, Greenbank",Greenbank,"playground,toilets,basketball,picnic_area",189.0,11,GREENBANK,District,Sport,2,existing,Priority Development Area,1.0,56894.0
Jamie Nicolson Park,-27.7043304443359,153.169479370117,directory point,"2A Jamie Nicolson Ave, Edens Landing",Edens Landing,"bbq_electric,toilets,basketball,picnic_area",190.0,6,EDENS LANDING,Local,Recreation,2,existing,Recreation and Open Space,2.0,5248.0
Jean Park,-27.635924,153.112872,polygon centroid,,,,,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,2404.0
Jedfire Park,-27.6974544525146,153.041641235352,directory point,"20-34 Park Ridge Road, Park Ridge",Park Ridge,picnic_area,191.0,8,PARK RIDGE,Local,Recreation,4,existing,Recreation and Open Space,2.0,34876.0
Jimboomba Park,-27.8378925323486,153.028518676758,directory point,"1 South Street, Jimboomba",Jimboomba,"playground,toilets,fitness_equipment,bike_track,tennis_courts,walking_track,skate_facilities,picnic_area",192.0,9,JIMBOOMBA,Metropolitan,Sport,2,existing,Multiple Zones,2.0,159214.0
Jimboomba Riverside Park,-27.818628,153.005144,polygon centroid,,,,,9,JIMBOOMBA,Corridor,Recreation,,existing,Emerging Community,3.0,0.0
Jingeri Park,-27.7298011779785,153.044189453125,directory point,"2 Merluna Road, Park Ridge South",Park Ridge South,"bbq_electric,playground,basketball,picnic_area",193.0,8,PARK RIDGE SOUTH,Ecologically Sig,Natural Areas,1,existing,Multiple Zones,2.0,16890.0
Jinnung Jalli Park,-27.8037586212158,153.118942260742,directory point,"Gossan Circuit, Yarrabilba",Yarrabilba,picnic_area,194.0,,,,,,,,,
John Nevell Landscape,-27.7660293579102,153.097442626953,directory point,"Anzac Avenue, Chambers Flat",Chambers Flat,bbq_wood,195.0,9,CHAMBERS FLAT,Landscape Amenit,Natural Areas,0,existing,,1.0,707.0
John Nevell Memorial Park,-27.7649631500244,153.097259521484,directory point,"Kirk Road, Chambers Flat",Chambers Flat,picnic_area,196.0,9,CHAMBERS FLAT,Local,Recreation,4,existing,,1.0,4892.0
Jubilee Park,-27.7487945556641,153.185577392578,directory point,"2-10 Jubilee Court, Bahrs Scrub",Bahrs Scrub,picnic_area,197.0,6,BAHRS SCRUB,Local,Recreation,1,existing,Recreation and Open Space,1.0,3175.0
Judith Park,-27.692734,153.089281,polygon centroid,,,,,5,CRESTMEAD,Landscape Amenit,Natural Areas,4,existing,Recreation and Open Space,6.0,141486.0
K J Asling Reserve,-27.744441,153.19164,polygon centroid,,,,,4,WINDAROO,Local,Recreation,3,existing,Recreation and Open Space,1.0,3829.0
Karoonda Park,-27.6030788421631,153.117706298828,directory point,"Karoonda Crescent, Rochedale South",Rochedale South,"playground,skate_facilities",198.0,,,,,,,,,
Ken May Park,-27.6358261108398,153.129150390625,directory point,"Carribean Drive, Slacks Creek",Slacks Creek,"playground,picnic_area",199.0,3,SLACKS CREEK,Local,Recreation,2,existing,Recreation and Open Space,1.0,6623.0
Kiewa Park,-27.6959571838379,153.17529296875,directory point,"Kiewa Drive, Loganholme",Loganholme,"bbq_electric,playground,basketball,picnic_area",200.0,10,LOGANHOLME,Local,Recreation,2,existing,Recreation and Open Space,3.0,12598.0
Kilkenny Park,-27.6615829467773,153.202270507813,directory point,"Kilkenny Street, Cornubia",Cornubia,"playground,fitness_equipment,basketball,picnic_area",201.0,10,CORNUBIA,Local,Recreation,2,existing,Recreation and Open Space,3.0,8898.0
Kilsay Park,-27.6698837280273,153.148010253906,directory point,"Edenlea Drive, Meadowbrook",Meadowbrook,"playground,picnic_area",202.0,6,MEADOWBROOK,Local,Other,3,existing,Recreation and Open Space,4.0,32074.0
Kimberley Forest Park,-27.6412105560303,153.184158325195,directory point,"17-25 Chay Street, Shailer Park",Shailer Park,"playground,fitness_equipment,basketball,walking_track,picnic_area",203.0,3,SHAILER PARK,Landscape Amenit,Natural Areas,4,Investigation,Low Density Residential,12.0,908901.0
Kinchant Park,-27.6748638153076,153.098098754883,directory point,"Kinchant Street, Marsden",Marsden,playground,204.0,5,MARSDEN,Local,Other,0,existing,Recreation and Open Space,2.0,19254.0
Kingston Butter Factory (Playground),-27.6579704284668,153.118270874023,directory point,"Milky Way, Kingston",Kingston,"playground,picnic_area",205.0,,,,,,,,,
