Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
Lot 9004 Talbot Drive,3,$468.35,Journal (no supplier),,Talbot Park,Talbot Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+9004+Talbot+Drive%22+Logan+QLD+park
Park Bbq 256 Dairy Creek Rd Waterford QL,20,$466.45,Origin Energy (collective account),31201077552,Malling Park,Malling Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Park+Bbq+256+Dairy+Creek+Rd+Waterford+QL%22+Logan+QLD+park
BBQ 150 FEDERATION DR BETHANIA QLD 4205,9,$459.13,Origin Energy (collective account),QB095059464,Argule Park; Federation Drive Reserve; Oppermann Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22BBQ+150+FEDERATION+DR+BETHANIA+QLD+4205%22+Logan+QLD+park
123 FEDERATION DR BETHANIA QLD 4205,8,$453.62,Origin Energy (collective account),QB123775972,Argule Park; Federation Drive Reserve; Oppermann Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22123+FEDERATION+DR+BETHANIA+QLD+4205%22+Logan+QLD+park
Toilets Bbq & Stage Area Lot 902 Parksid,20,$451.16,Origin Energy (collective account),31200578525,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Toilets+Bbq+%26+Stage+Area+Lot+902+Parksid%22+Logan+QLD+park
0 Johnson Road,3,$438.19,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Johnson+Road%22+Logan+QLD+park
Wineglass Dr Hillcrest QLD 4118,36,$438.07,Origin Energy (collective account),31900071683,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Wineglass+Dr+Hillcrest+QLD+4118%22+Logan+QLD+park
0 Fitzgerald Avenue,1,$437.76,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Fitzgerald+Avenue%22+Logan+QLD+park
0 Logan Road,2,$437.76,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Logan+Road%22+Logan+QLD+park
55 Copal Drive,4,$433.84,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2255+Copal+Drive%22+Logan+QLD+park
Brough Place,2,$430.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Brough+Place%22+Logan+QLD+park
Lot 901 Coringley Road,4,$427.93,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+901+Coringley+Road%22+Logan+QLD+park
0 George Street,2,$427.50,Journal (no supplier),,Rotary Park (Beenleigh),Rotary Park (Beenleigh),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%220+George+Street%22+Logan+QLD+park
Lot 903 Australis Circuit,4,$410.85,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+903+Australis+Circuit%22+Logan+QLD+park
"Lot 804 Park Lighting, Ivory Parkway",5,$405.49,"Origin Energy (collective/direct, confirm)",3120886553,,Everleigh Park,"VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank","VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank",https://www.logan.qld.gov.au/community/community-services-and-support/sport-and-recreation/planning/sports-facilities-program,https://www.google.com/search?q=%22Lot+804+Park+Lighting%2C+Ivory+Parkway%22+Logan+QLD+park
0 Grand Plaza Drive,1,$400.78,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Grand+Plaza+Drive%22+Logan+QLD+park
123 Federation Dr Bethania QLD 4205,11,$392.41,Origin Energy (collective account),QB123775972,Argule Park; Federation Drive Reserve; Oppermann Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22123+Federation+Dr+Bethania+QLD+4205%22+Logan+QLD+park
Lights at the tennis court in JimboombaP,3,$391.95,"Origin Energy (collective/direct, confirm)",QB14073200,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lights+at+the+tennis+court+in+JimboombaP%22+Logan+QLD+park
Lot 995 Spring Mountain Drive,4,$391.68,Journal (no supplier),,Spring Mountain Lagoon Park,Spring Mountain Lagoon Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+995+Spring+Mountain+Drive%22+Logan+QLD+park
64 Derby Road,2,$391.34,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2264+Derby+Road%22+Logan+QLD+park
12 Village Dr Daisy Hill QLD 4127,20,$389.67,Origin Energy (collective account),31168811416,Village Park,Village Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2212+Village+Dr+Daisy+Hill+QLD+4127%22+Logan+QLD+park
19 Parkfront Terrace,3,$389.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2219+Parkfront+Terrace%22+Logan+QLD+park
41 Autumnfield Avenue,4,$384.50,Journal (no supplier),,Autumnfield Park,Autumnfield Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2241+Autumnfield+Avenue%22+Logan+QLD+park
150 Flesser Rd Chambers Flat QLD 4133,20,$373.97,Origin Energy (collective account),31170225684,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22150+Flesser+Rd+Chambers+Flat+QLD+4133%22+Logan+QLD+park
Lot 703 Horseshoe Circuit,4,$371.53,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+703+Horseshoe+Circuit%22+Logan+QLD+park
42 Edenlea Drive,2,$371.50,Journal (no supplier),,Edenlea Park; Kilsay Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2242+Edenlea+Drive%22+Logan+QLD+park
Caretakers Residence 19 South St Jimboom,15,$370.04,Origin Energy Electricity Limited,QB141152636,Jimboomba Park,Jimboomba Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Caretakers+Residence+19+South+St+Jimboom%22+Logan+QLD+park
Public Bbq 38 Ridgevale Bvd Holmview QLD,20,$367.33,Origin Energy (collective account),31201394146,Valley View Park,Valley View Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Public+Bbq+38+Ridgevale+Bvd+Holmview+QLD%22+Logan+QLD+park
Jimboomba Community Care Centre,3,$360.47,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Jimboomba+Community+Care+Centre%22+Logan+QLD+park
Lot 900 Riverside Esplanade,3,$357.74,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Riverside+Esplanade%22+Logan+QLD+park
96 Tivoli Avenue,4,$357.03,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2296+Tivoli+Avenue%22+Logan+QLD+park
0 Tanah Merah Avenue,2,$352.47,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Tanah+Merah+Avenue%22+Logan+QLD+park
46 Orchard Street,4,$352.23,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2246+Orchard+Street%22+Logan+QLD+park
0 Meadowbrook Drive,1,$342.00,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Meadowbrook+Drive%22+Logan+QLD+park
15 Mount Archer Road,4,$336.25,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2215+Mount+Archer+Road%22+Logan+QLD+park
Minoa St,2,$332.17,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Minoa+St%22+Logan+QLD+park
0 Chatfield Street,2,$324.80,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Chatfield+Street%22+Logan+QLD+park
Lot 90301 College Dr Flagstone QLD 4280,24,$323.32,Origin Energy (collective account),31208658583,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+90301+College+Dr+Flagstone+QLD+4280%22+Logan+QLD+park
PARK CANX L911 SP303089 2 VESPAR RD FLAG,24,$315.77,Origin Energy (collective account),31208807059,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22PARK+CANX+L911+SP303089+2+VESPAR+RD+FLAG%22+Logan+QLD+park
Jingeri Park 2 Merluna Rd Park Ridge Sou,14,$310.19,Origin Energy (collective account),31155469777,Jingeri Park,Jingeri Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Jingeri+Park+2+Merluna+Rd+Park+Ridge+Sou%22+Logan+QLD+park
Lot 824 Guroman Drive,3,$306.04,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+824+Guroman+Drive%22+Logan+QLD+park
120 Station Road,4,$296.12,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22120+Station+Road%22+Logan+QLD+park
Jodie Street,2,$276.71,Journal (no supplier),,Homestead Park (Shailer Park),Homestead Park (Shailer Park),SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Jodie+Street%22+Logan+QLD+park
Lot 9008 Gallagher Street,3,$267.85,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9008+Gallagher+Street%22+Logan+QLD+park
Cusack Lane,3,$246.89,Journal (no supplier),,Lions Riverside Park,Lions Riverside Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Cusack+Lane%22+Logan+QLD+park
Lot 902 Chambers Ridge Boulevard,3,$246.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+902+Chambers+Ridge+Boulevard%22+Logan+QLD+park
213 Main Street,2,$241.77,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22213+Main+Street%22+Logan+QLD+park
74 Paul Drive,3,$233.10,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2274+Paul+Drive%22+Logan+QLD+park
1 Bunyeroo Street,2,$230.36,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%221+Bunyeroo+Street%22+Logan+QLD+park
41 Logan St Beenleigh QLD 4207,12,$228.84,Origin Energy Electricity Limited,QB106345176,Doug Larsen Park; Eagleby Wetlands; Olivers Sports Complex,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2241+Logan+St+Beenleigh+QLD+4207%22+Logan+QLD+park
Adelaide Circuit Park West,2,$228.50,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Adelaide+Circuit+Park+West%22+Logan+QLD+park
Park) Lot 9042 Buxton Ave Yarrabilba QLD,10,$226.15,Origin Energy Electricity Limited,31203557450,Buxton Park,Buxton Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Park%29+Lot+9042+Buxton+Ave+Yarrabilba+QLD%22+Logan+QLD+park
11 Bigal Avenue,2,$224.15,Journal (no supplier),,Yore Park,Yore Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2211+Bigal+Avenue%22+Logan+QLD+park
14 Shaftsbury Road,2,$224.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2214+Shaftsbury+Road%22+Logan+QLD+park
Lot 9000 Riparian Circuit,2,$224.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9000+Riparian+Circuit%22+Logan+QLD+park
Lot 9000 Pebble Creek Way,2,$224.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9000+Pebble+Creek+Way%22+Logan+QLD+park
Lot 901 Killara Boulevard,2,$224.15,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+901+Killara+Boulevard%22+Logan+QLD+park
South St Jimboomba QLD 4280,6,$220.43,Origin Energy Electricity Limited,QB140732009,Jimboomba Park,Jimboomba Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22South+St+Jimboomba+QLD+4280%22+Logan+QLD+park
0 Pacific Highway,1,$218.88,Journal (no supplier),,Logan River Parklands,Logan River Parklands,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%220+Pacific+Highway%22+Logan+QLD+park
0 Waratah Drive,1,$218.88,Journal (no supplier),,Ernie White Park,Ernie White Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%220+Waratah+Drive%22+Logan+QLD+park
43 Pohon Drive,17,$218.45,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2243+Pohon+Drive%22+Logan+QLD+park
5 Parkland Avenue,17,$218.45,Journal (no supplier),,Forestglen Park,Forestglen Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%225+Parkland+Avenue%22+Logan+QLD+park
Logan Village Community Centre,5,$216.65,"Origin Energy (collective/direct, confirm)",3120186881,,Logan Village Community Centre,SUPPORTED - explicit named facility in narration,SUPPORTED - explicit named facility in narration,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Logan+Village+Community+Centre%22+Logan+QLD+park
617 Logan Reserve Road,3,$214.27,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22617+Logan+Reserve+Road%22+Logan+QLD+park
Clarks Road,2,$214.20,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Clarks+Road%22+Logan+QLD+park
"lot 804 PARK LIGHTING, IVORY PKWY",2,$212.30,Unidentified (FY2023/24 series 7-digit),,,Everleigh Park,"VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank","VERIFIED - official Council source identifies Everleigh Park at Ivory Parkway, Greenbank",https://www.logan.qld.gov.au/community/community-services-and-support/sport-and-recreation/planning/sports-facilities-program,https://www.google.com/search?q=%22lot+804+PARK+LIGHTING%2C+IVORY+PKWY%22+Logan+QLD+park
Lot 75 Scott Lane,2,$208.00,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+75+Scott+Lane%22+Logan+QLD+park
71 College Drive,1,$206.50,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2271+College+Drive%22+Logan+QLD+park
0 Loganlea Road,2,$196.91,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%220+Loganlea+Road%22+Logan+QLD+park
53 Eiger Street,2,$182.35,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2253+Eiger+Street%22+Logan+QLD+park
1 CUPANIA ST,3,$182.21,Unidentified (FY2024/25 series 8-digit),,Brough Place,Brough Place,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%221+CUPANIA+ST%22+Logan+QLD+park
